protein	n_obs	status	singular	messages	var_Run	var_BioReplicate	var_Mixture	sigma2	scope	level	var_Run:Channel	var_Run:ionID
Q9DB27	5	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
P32067	145	ok	TRUE	boundary (singular) fit: see help('isSingular')	7.77837452583332e-10	0.213018118747303	8.82740023898026e-08	0.147025268803946	fraction_run	psm	0.0202073230080223	3.13268314958107
Q3UFS4	6	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
P82349	50	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0.191307716822567	6.35576845262393e-08	0.203348721772628	fraction_run	psm	0	5.99131178831871
Q9D2R6	28	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0.536685222861762	0.174114858819924	0.0473209167838051	fraction_run	psm	0	0.541065363102302
A2A863	14	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q8BHL5	21	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
A2AJB7	97	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.97592204950376e-09	4.8566750972066	1.10253353146262e-07	0.701884353814623	fraction_run	psm	0.113878132235754	2.57517783900675
Q60973	54	ok	TRUE	boundary (singular) fit: see help('isSingular')	2.00344294862091	0.122510895297389	0	0.0427083741503096	fraction_run	psm	0.417272943069987	0.201696672224111
Q91XD6	29	ok	FALSE		1.98856130088951e-06	0.131993619604456	1.0140804513864	0.295566249300291	fraction_run	psm	7.59865537937615e-08	0.520007360113449
