acquisition	design	variant	contrast	logfc_floor	n_called	tp	fp	fdp	sensitivity
ms3	balanced	protein_ratio_mixed_robust_noridge_msqrob2	0.5 - 0.125	0.3	41	36	5	0.121951219512195	0.9
ms3	balanced	protein_ratio_naive_robust_noridge_msqrob2	1 - 0.667	0.3	30	30	0	0	0.75
ms3	balanced	protein_ratio_naive_robust_noridge_msqrob2	1 - 0.5	0.3	36	35	1	0.0277777777777778	0.875
ms3	balanced	protein_ratio_naive_robust_noridge_msqrob2	1 - 0.125	0.3	42	40	2	0.0476190476190476	1
ms3	balanced	protein_ratio_naive_robust_noridge_msqrob2	0.667 - 0.5	0.3	17	17	0	0	0.425
ms3	balanced	protein_ratio_naive_robust_noridge_msqrob2	0.667 - 0.125	0.3	40	39	1	0.025	0.975
ms3	balanced	protein_ratio_naive_robust_noridge_msqrob2	0.5 - 0.125	0.3	37	36	1	0.027027027027027	0.9
ms3	balanced	protein_ratio_mixed_ls_noridge_msqrob2	1 - 0.667	0.3	31	31	0	0	0.775
ms3	balanced	protein_ratio_mixed_ls_noridge_msqrob2	1 - 0.5	0.3	36	35	1	0.0277777777777778	0.875
ms3	balanced	protein_ratio_mixed_ls_noridge_msqrob2	1 - 0.125	0.3	42	39	3	0.0714285714285714	0.975
ms3	balanced	protein_ratio_mixed_ls_noridge_msqrob2	0.667 - 0.5	0.3	17	17	0	0	0.425
ms3	balanced	protein_ratio_mixed_ls_noridge_msqrob2	0.667 - 0.125	0.3	41	39	2	0.0487804878048781	0.975
ms3	balanced	protein_ratio_mixed_ls_noridge_msqrob2	0.5 - 0.125	0.3	38	35	3	0.0789473684210526	0.875
ms3	balanced	protein_ratio_naive_ls_noridge_msqrob2	1 - 0.667	0.3	26	26	0	0	0.65
ms3	balanced	protein_ratio_naive_ls_noridge_msqrob2	1 - 0.5	0.3	36	35	1	0.0277777777777778	0.875
ms3	balanced	protein_ratio_naive_ls_noridge_msqrob2	1 - 0.125	0.3	41	39	2	0.0487804878048781	0.975
ms3	balanced	protein_ratio_naive_ls_noridge_msqrob2	0.667 - 0.5	0.3	14	14	0	0	0.35
ms3	balanced	protein_ratio_naive_ls_noridge_msqrob2	0.667 - 0.125	0.3	39	38	1	0.0256410256410256	0.95
ms3	balanced	protein_ratio_naive_ls_noridge_msqrob2	0.5 - 0.125	0.3	36	35	1	0.0277777777777778	0.875
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	1 - 0.667	0.3	32	32	0	0	0.8
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	1 - 0.5	0.3	39	35	4	0.102564102564103	0.875
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	1 - 0.125	0.3	43	40	3	0.0697674418604651	1
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	0.667 - 0.5	0.3	19	19	0	0	0.475
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	0.667 - 0.125	0.3	41	39	2	0.0487804878048781	0.975
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	0.5 - 0.125	0.3	40	36	4	0.1	0.9
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	1 - 0.667	0.3	32	32	0	0	0.8
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	1 - 0.5	0.3	37	35	2	0.0540540540540541	0.875
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	1 - 0.125	0.3	41	40	1	0.024390243902439	1
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	0.667 - 0.5	0.3	18	18	0	0	0.45
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	0.667 - 0.125	0.3	41	39	2	0.0487804878048781	0.975
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	0.5 - 0.125	0.3	39	36	3	0.0769230769230769	0.9
ms3	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	1 - 0.667	0.3	7	7	0	0	0.175
ms3	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	1 - 0.5	0.3	26	24	2	0.0769230769230769	0.6
ms3	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	1 - 0.125	0.3	39	37	2	0.0512820512820513	0.925
ms3	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	0.667 - 0.5	0.3	0	0	0	NA	0
ms3	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	0.667 - 0.125	0.3	37	35	2	0.0540540540540541	0.875
