acquisition	design	variant	contrast	n_fp	median_logfc	median_abs_logfc	frac_negative	frac_abs_below_0.1	frac_abs_below_0.2	median_se
ms3	unbalanced	protein_drop_mixed_robust_noridge_msqrob2	0.5 - 0.125	3	0.440412	0.440412	0	0	0.333333333333333	0.0895017
ms3	unbalanced	protein_drop_naive_robust_noridge_msqrob2	1 - 0.5	47	-0.558582	1.31634	0.553191489361702	0	0	0.28285
ms3	unbalanced	protein_drop_naive_robust_noridge_msqrob2	1 - 0.125	55	-0.402077	1.24711	0.581818181818182	0	0	0.260911
ms3	unbalanced	protein_drop_naive_robust_noridge_msqrob2	0.667 - 0.5	47	-0.40977	1.52231	0.51063829787234	0	0	0.302109
ms3	unbalanced	protein_drop_naive_robust_noridge_msqrob2	0.667 - 0.125	69	-0.416613	1.24147	0.536231884057971	0	0	0.267643
ms3	unbalanced	protein_drop_dupcor_mixture_ls_noridge_limma	1 - 0.5	20	-1.167235	2.41055	0.55	0	0	0.302604
ms3	unbalanced	protein_drop_dupcor_mixture_ls_noridge_limma	1 - 0.125	25	1.11597	2.25016	0.44	0	0	0.297026
ms3	unbalanced	protein_drop_dupcor_mixture_ls_noridge_limma	0.667 - 0.5	25	-1.40803	2.37381	0.56	0	0	0.322575
ms3	unbalanced	protein_drop_dupcor_mixture_ls_noridge_limma	0.667 - 0.125	33	-1.21251	2.35557	0.515151515151515	0	0	0.322575
ms2	balanced	protein_drop_mixed_robust_noridge_msqrob2	1 - 0.667	16	-0.05934455	0.148351	0.6875	0.25	0.75	0.0361108
ms2	balanced	protein_drop_mixed_robust_noridge_msqrob2	1 - 0.5	10	-0.042592	0.0830275	0.7	0.7	0.9	0.01913575
ms2	balanced	protein_drop_mixed_robust_noridge_msqrob2	1 - 0.125	37	-0.0311821	0.0684921	0.72972972972973	0.72972972972973	0.891891891891892	0.0171363
ms2	balanced	protein_drop_mixed_robust_noridge_msqrob2	0.667 - 0.5	2	0.1467005	0.1467005	0	0	1	0.03871265
ms2	balanced	protein_drop_mixed_robust_noridge_msqrob2	0.667 - 0.125	6	-0.1002833	0.1659195	0.666666666666667	0.166666666666667	0.833333333333333	0.03517965
ms2	balanced	protein_drop_mixed_robust_noridge_msqrob2	0.5 - 0.125	8	-0.05823205	0.10914705	0.875	0.5	0.875	0.0274096
ms2	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	1 - 0.5	2	-0.523372	0.523372	1	0	0	0.10096905
